method,family,size,sample,SP,modeler,TC,column
learnMSA,PF00005.30,100000,0,75.2,75.4,21.3,35.1
learnMSA,PF00005.30,100000,1,75.7,76.4,20.9,34.4
learnMSA,PF00005.30,10000,0,76.1,77.1,21.3,35.1
learnMSA,PF00041.24,10000,9,78.6,81.1,15.6,21.5
learnMSA,PF00041.24,1500,0,78.2,80.6,16.5,22.8
learnMSA,PF00041.24,1500,1,77.4,79.6,16.5,22.8
learnMSA,PF00041.24,1500,2,75.8,78.5,16.5,22.8
learnMSA,PF00041.24,1500,3,78.9,81.2,15.6,21.5
learnMSA,PF00041.24,1500,4,77.4,79.7,16.5,22.8
learnMSA,PF00041.24,1500,5,77.9,80.5,16.5,22.8
learnMSA,PF00041.24,1500,6,78.7,81.2,15.6,21.5
learnMSA,PF00041.24,1500,7,78.3,80.9,16.5,22.8
learnMSA,PF00041.24,1500,8,77.1,80.0,15.6,21.5
learnMSA,PF00005.30,10000,1,76.5,77.5,21.3,35.1
learnMSA,PF00041.24,1500,9,78.7,81.2,16.5,22.8
learnMSA,PF00041.24,200000,0,79.2,80.0,15.6,21.5
learnMSA,PF00041.24,200000,1,79.7,80.3,15.6,21.5
learnMSA,PF00041.24,200000,2,80.2,81.0,15.6,21.5
learnMSA,PF00041.24,200000,3,80.2,80.7,15.6,21.5
learnMSA,PF00041.24,200000,4,79.7,80.3,15.6,21.5
learnMSA,PF00041.24,200000,5,79.6,80.1,15.6,21.5
learnMSA,PF00041.24,200000,6,79.1,79.8,15.6,21.5
learnMSA,PF00041.24,200000,7,78.9,79.4,15.6,21.5
learnMSA,PF00041.24,200000,8,79.5,80.0,15.6,21.5
learnMSA,PF00005.30,10000,2,75.8,76.7,20.4,33.6
learnMSA,PF00041.24,200000,9,79.4,80.5,15.6,21.5
learnMSA,PF00041.24,20000,0,80.2,81.4,15.6,21.5
learnMSA,PF00041.24,20000,1,79.1,81.1,16.5,22.8
learnMSA,PF00041.24,20000,2,79.4,81.1,15.6,21.5
learnMSA,PF00041.24,20000,3,80.0,81.4,15.6,21.5
learnMSA,PF00041.24,20000,4,79.7,81.4,16.5,22.8
learnMSA,PF00041.24,20000,5,79.5,81.2,15.6,21.5
learnMSA,PF00041.24,20000,6,79.7,81.2,15.6,21.5
learnMSA,PF00041.24,20000,7,78.8,80.9,18.3,25.3
learnMSA,PF00041.24,20000,8,78.4,80.4,15.6,21.5
learnMSA,PF00005.30,10000,3,75.8,76.8,20.9,34.4
learnMSA,PF00041.24,20000,9,79.6,81.1,15.6,21.5
learnMSA,PF00041.24,300000,0,79.2,79.5,15.6,21.5
learnMSA,PF00041.24,300000,1,79.4,79.8,6.4,8.9
learnMSA,PF00041.24,300000,2,79.8,80.1,15.6,21.5
learnMSA,PF00041.24,300000,3,79.6,79.9,5.5,7.6
learnMSA,PF00041.24,300000,4,78.4,78.9,15.6,21.5
learnMSA,PF00041.24,300000,5,79.7,80.2,15.6,21.5
learnMSA,PF00041.24,300000,6,79.9,80.2,16.5,22.8
learnMSA,PF00041.24,300000,7,79.2,79.6,15.6,21.5
learnMSA,PF00041.24,300000,8,79.2,79.6,15.6,21.5
learnMSA,PF00005.30,10000,4,76.0,77.0,20.4,33.6
learnMSA,PF00041.24,300000,9,79.8,80.2,15.6,21.5
learnMSA,PF00041.24,500000,0,79.3,79.6,6.4,8.9
learnMSA,PF00041.24,500000,1,79.0,79.2,5.5,7.6
learnMSA,PF00041.24,500000,2,78.9,79.1,15.6,21.5
learnMSA,PF00041.24,500000,3,78.7,79.3,5.5,7.6
learnMSA,PF00041.24,500000,4,79.3,79.8,15.6,21.5
learnMSA,PF00041.24,500000,5,79.2,79.4,5.5,7.6
learnMSA,PF00041.24,500000,6,78.7,79.1,6.4,8.9
learnMSA,PF00041.24,500000,7,78.8,79.2,15.6,21.5
learnMSA,PF00041.24,500000,8,79.0,79.2,5.5,7.6
learnMSA,PF00005.30,10000,5,73.5,74.7,21.3,35.1
learnMSA,PF00041.24,500000,9,78.0,78.2,5.5,7.6
learnMSA,PF00041.24,50000,0,80.2,81.2,16.5,22.8
learnMSA,PF00041.24,50000,1,80.1,81.5,17.4,24.1
learnMSA,PF00041.24,50000,2,80.3,81.6,15.6,21.5
learnMSA,PF00041.24,50000,3,79.4,80.3,17.4,24.0
learnMSA,PF00041.24,50000,4,78.7,80.0,15.6,21.5
learnMSA,PF00041.24,50000,5,79.7,81.0,15.6,21.5
learnMSA,PF00041.24,50000,6,79.2,80.6,15.6,21.5
learnMSA,PF00041.24,50000,7,80.0,80.9,15.6,21.5
